frame,particle_id,x,y,angle
0,0,123.44760786615791,782.8467860287643,60.71878486808159
1,0,123.01103688643624,769.4702294510602,51.37639734791359
2,0,120.1420895522388,791.5492537313432,58.67527263050308
3,0,134.63407029478458,772.3259637188208,42.451346903337
4,0,121.70142857142856,779.2237142857143,41.57105944019958
5,0,132.18189557321224,778.8047673098752,45.959254207609426
6,0,117.02767002844583,777.9896560641324,47.113946279995325
7,0,82.97476237299246,773.0016388069486,65.7269191885404
8,0,55.08268456375839,805.4711409395973,63.62382699284285
9,0,52.56588921282799,831.0930029154518,42.95638387481899
10,0,78.48616803278688,768.8570696721312,1.0880923129878828
11,0,77.6050265160249,755.2759972331105,6.598455041036194
12,0,59.938223938223935,753.081081081081,-42.107851588419415
13,0,81.82288481141693,768.7714067278288,-12.46882125030035
14,0,118.45972738537795,782.507434944238,50.60390761624017
15,0,91.65955147257498,770.5109429883815,29.56398828332505
16,0,74.51641874824585,796.8933483019927,54.412324091276545
17,0,145.90301523158223,763.4491762511657,43.332595512062625
18,0,112.84869711403755,768.3491173998319,41.76061023157217
19,0,95.63831457733578,767.578644333944,51.694579040340194
20,0,101.01845444059977,792.7335640138408,41.25305359983347
21,0,109.02422048997772,781.7870267260579,53.65043330266979
22,0,110.15525246662797,772.8583865351131,47.939480272485085
23,0,108.38757314015047,779.0958484257453,34.29374241322751
24,0,103.67155816435432,795.3729989327642,30.78941769655571
25,0,103.85585133098945,752.3332496233048,27.510350858961164
26,0,95.87048398091343,756.4208134514882,48.79237987002787
27,0,113.3066263542454,769.8057445200302,55.56267584927251
28,0,94.41543465405086,765.6602602010645,44.70352753782488
29,0,113.9545329291816,773.2570956186278,58.920745535332905
30,0,111.08485309017225,766.3685410334347,52.62811313125467
31,0,112.42213570634038,788.1295884315906,37.51519299748206
32,0,134.85622832755402,783.2432648706322,46.43835672098103
33,0,102.3257053291536,779.4877742946709,40.80357916420542
34,0,126.39552484369858,784.3339914445542,37.35295334503884
35,0,112.17830566685747,790.8760732684602,42.10862455178517
36,0,80.47652582159624,787.4765258215963,48.875958795482774
37,0,136.65346534653466,766.4002084418968,57.8659036226099
38,0,114.22417934347477,773.4032559380838,17.608620458871812
39,0,117.06401249024199,765.5930262815509,37.35166367760146
40,0,103.65947035118019,767.6701208981002,56.133685427616825
41,0,121.03996692392502,778.4418412348401,70.59885206834268
42,0,143.56751467710373,775.5812133072407,46.03835829925323
43,0,138.81581259150806,780.6178623718887,43.562331030279765
44,0,76.75438157235854,795.2631447170756,33.65921003453306
45,0,125.51003512293026,762.8502257902659,76.7047064675882
46,0,122.81779091642032,772.4528352593389,38.28619889112974
47,0,106.0392572944297,784.4997347480106,36.715142791746175
48,0,138.25332955511476,772.6480589402097,44.34362209218375
49,0,95.72216066481994,784.0307479224376,58.73751403379185
